tag_id,stap_s,stap_t,lat_s,lon_s,lat_t,lon_t,s,t,j,start,end,n,distance,bearing,gs_u,gs_v,ws_u,ws_v
5D6,3,4,34.0625,109.3125,31.0625,111.0625,127520,180616,8,2021-10-26T13:30:00Z,2021-10-26T22:30:00Z,1,371.0498939606031,153.23567756692398,18.54924430553281,-36.95191890410664,-6.553104275192263,-2.2386256333923344
5D6,3,4,34.5625,108.4375,32.3125,110.4375,125780,179366,9,2021-10-26T13:30:00Z,2021-10-26T22:30:00Z,1,311.21254349027464,142.74908040857645,20.911003692302163,-27.626739890969787,-7.242907866989136,-2.63291982284546
5D6,3,4,34.5625,109.4375,33.1875,111.0625,127764,180599,10,2021-10-26T13:30:00Z,2021-10-26T22:30:00Z,1,214.15281586908335,134.95506743682324,16.821735414629796,-16.873378868207993,-7.915065054489141,-4.337691986907958
5D6,4,5,31.5625,111.1875,31.0625,111.5625,180860,231208,1,2021-10-27T16:30:00Z,2021-10-27T20:30:00Z,1,65.93595197138744,147.12444470415272,8.939798968458504,-13.899695688957589,-0.4150091600875846,-3.3690058468780526
5D6,4,5,30.1875,107.6875,30.9375,110.5625,173927,229225,2,2021-10-27T16:30:00Z,2021-10-27T20:30:00Z,1,288.06912691102804,72.49685761638159,68.62213579868978,21.744790262763875,-3.606513947685241,7.193308450973513
5D6,4,5,32.6875,111.1875,32.0625,109.6875,180851,227480,3,2021-10-27T16:30:00Z,2021-10-27T20:30:00Z,1,157.2544927137338,244.25234171000525,-35.37699689155794,-17.14498189703305,0.27221392975616615,3.5355039558563237
5D6,4,5,32.3125,111.3125,31.6875,114.0625,181102,236163,4,2021-10-27T16:30:00Z,2021-10-27T20:30:00Z,1,268.9297280245604,104.20176063093368,65.11744371399604,-16.562989490777614,-6.669286571708679,-4.5773490109405515
5D6,4,5,30.9375,110.9375,28.5625,110.0625,180369,228252,5,2021-10-27T16:30:00Z,2021-10-27T20:30:00Z,1,276.5313273593219,198.04058552454103,-21.393430982712193,-66.01390037994813,-6.126411915458674,-3.7386760304718014
5D6,4,5,31.8125,111.9375,31.5625,110.9375,182346,229964,6,2021-10-27T16:30:00Z,2021-10-27T20:30:00Z,1,98.7809787863055,253.9656678676486,-23.712734316955885,-6.848638450314363,0.8334215244827284,-1.7134709904327392
5D6,4,5,33.0625,112.1875,32.1875,113.0625,182832,234175,7,2021-10-27T16:30:00Z,2021-10-27T20:30:00Z,1,127.11635344208837,139.52394887389625,20.60916575680802,-24.26595578575345,-7.989369684013366,-2.809939979690551
5D6,4,5,31.0625,111.0625,30.6875,110.0625,180616,228235,8,2021-10-27T16:30:00Z,2021-10-27T20:30:00Z,1,104.27465496962692,246.7598098694297,-23.932529348018697,-10.328828556978369,-1.249243809013366,0.2742240974578856
5D6,4,5,32.3125,110.4375,30.9375,111.1875,179366,230465,9,2021-10-27T16:30:00Z,2021-10-27T20:30:00Z,1,168.2466104462826,154.78297506567196,17.904436449614604,-38.204227061492126,-0.2138558554000851,1.4710788230438216
5D6,4,5,33.1875,111.0625,31.9375,111.0625,180599,230209,10,2021-10-27T16:30:00Z,2021-10-27T20:30:00Z,1,138.62089910018298,180,-6.390330847626388e-15,-34.787340872898135,-0.5752856952438341,4.332812149703978
5D6,5,6,31.0625,111.5625,31.4375,112.4375,231208,282541,1,2021-10-28T16:30:00Z,2021-10-28T19:30:00Z,1,93.14186389727676,63.26131268709514,27.702075422650704,14.024476449597765,-0.4173201062622066,-2.1419783947448727
5D6,5,6,30.9375,110.5625,30.8125,111.3125,229225,280314,2,2021-10-28T16:30:00Z,2021-10-28T19:30:00Z,1,73.04792800351215,100.7436348118411,23.901474335218527,-4.557984995669374,0.7732965382690432,-2.2470673634948732
5D6,5,6,32.0625,109.6875,30.9375,109.9375,227480,277585,3,2021-10-28T16:30:00Z,2021-10-28T19:30:00Z,1,126.97869744670427,169.15420044948746,7.957330405404967,-41.735689767462446,-0.36801773126220677,-0.5993794845886229
5D6,5,6,31.6875,114.0625,31.1875,114.4375,236163,286511,4,2021-10-28T16:30:00Z,2021-10-28T19:30:00Z,1,65.91130529072589,147.15912157946093,11.904039532207717,-18.532881840413154,-5.095354379699708,-1.8693635314636234
5D6,5,6,28.5625,110.0625,30.1875,111.0625,228252,279823,5,2021-10-28T16:30:00Z,2021-10-28T19:30:00Z,1,204.61384896605657,28.081113427564162,32.07819007797821,60.43422721855792,-3.6988871336059566,-2.1924169611511233
5D6,5,6,31.5625,110.9375,30.6875,111.4375,229964,280563,6,2021-10-28T16:30:00Z,2021-10-28T19:30:00Z,1,108.10028855828335,153.69248621368615,15.955685063348826,-32.4320455849958,1.9067669210815423,-2.0730829025573723
5D6,5,6,32.1875,113.0625,31.3125,112.6875,234175,283038,7,2021-10-28T16:30:00Z,2021-10-28T19:30:00Z,1,103.32316469176685,200.21228029115113,-11.888601417928063,-32.44762779618109,-3.854476602355957,0.10623457791137757
5D6,5,6,30.6875,110.0625,30.9375,109.9375,228235,277585,8,2021-10-28T16:30:00Z,2021-10-28T19:30:00Z,1,30.187425746703287,336.688950791895,-3.9784248001865867,9.278844495716049,-1.590847684387207,0.2294547380676269
5D6,5,6,30.9375,111.1875,30.0625,111.5625,230465,280816,9,2021-10-28T16:30:00Z,2021-10-28T19:30:00Z,1,103.46767615117254,159.54383139131062,12.043537764134886,-32.44809481696769,0.35247936639404276,-1.7219087033386227
5D6,5,6,31.9375,111.0625,30.6875,111.5625,230209,280811,10,2021-10-28T16:30:00Z,2021-10-28T19:30:00Z,1,146.53784537101996,160.91615578793233,15.956330019343488,-46.346720673568846,2.974549819519043,-1.820244039276123
5D6,6,7,31.4375,112.4375,30.0625,111.6875,282541,330664,1,2021-10-29T17:30:00Z,2021-10-29T20:30:00Z,1,168.50704402718546,205.41772921202625,-24.08831579137519,-50.940278994363105,3.3872506428222633,-0.7928372380371097
5D6,6,7,30.8125,111.3125,29.1875,111.6875,280314,330671,2,2021-10-29T17:30:00Z,2021-10-29T20:30:00Z,1,183.73270104815467,168.54841649145874,12.149742964883293,-60.27801404303128,4.051575201416011,-4.36130407397461
5D6,6,7,30.9375,109.9375,30.3125,111.1875,277585,329670,3,2021-10-29T17:30:00Z,2021-10-29T20:30:00Z,1,138.431893612998,119.7152242435111,40.04184378661121,-22.96835970870011,4.592018767822268,0.7525227971191372
5D6,6,7,31.1875,114.4375,31.8125,113.6875,286511,334618,4,2021-10-29T17:30:00Z,2021-10-29T20:30:00Z,1,99.39320605268071,314.39932835198465,-23.64949008055421,23.27219742477895,4.305149814697269,-7.608249929443359
5D6,6,7,30.1875,111.0625,30.6875,111.0625,279823,329419,5,2021-10-29T17:30:00Z,2021-10-29T20:30:00Z,1,55.429925944946206,0,1.1360588173557992e-15,18.553248465545618,5.868138177978514,-2.5839996013183577
5D6,6,7,30.6875,111.4375,30.6875,111.4375,280563,330163,6,2021-10-29T17:30:00Z,2021-10-29T20:30:00Z,1,0,,0,0,4.152515474853512,-4.213307517333981
5D6,6,7,31.3125,112.6875,30.4375,113.9375,283038,335125,7,2021-10-29T17:30:00Z,2021-10-29T20:30:00Z,1,153.9441568438398,128.7388285710045,39.991424404856154,-32.2433574945665,6.03256403540039,-6.449367085693358
5D6,6,7,30.9375,109.9375,30.4375,111.4375,277585,330165,8,2021-10-29T17:30:00Z,2021-10-29T20:30:00Z,1,154.03890340328422,110.7072279130989,47.98802767225328,-18.23185771471388,5.912485871337891,0.01460082641601246
5D6,6,7,30.0625,111.5625,30.4375,114.0625,280816,335373,9,2021-10-29T17:30:00Z,2021-10-29T20:30:00Z,1,244.1680050128167,79.56923275652196,79.97553970927558,14.792415801637754,3.3774015900878886,-6.011140281005858
5D6,6,7,30.6875,111.5625,30.5625,111.8125,280811,330908,10,2021-10-29T17:30:00Z,2021-10-29T20:30:00Z,1,27.686683548520538,119.97101018595629,7.987869057947212,-4.6294291270076675,3.980652664306636,-2.4812127224121094
5D6,7,8,30.0625,111.6875,26.6875,111.4375,330664,379795,1,2021-11-07T12:30:00Z,2021-11-07T23:30:00Z,1,374.83816352531824,183.80831220822878,-2.2617733533861637,-34.15245576363172,-14.22881389774392,-57.06312052947443
5D6,7,8,29.1875,111.6875,23.0625,110.5625,330671,378088,2,2021-11-07T12:30:00Z,2021-11-07T23:30:00Z,1,687.8413575674842,189.66687161289124,-10.49488778018698,-61.937676551084095,-17.85605932192716,-46.884472262961665
5D6,7,8,30.3125,111.1875,27.4375,109.8125,329670,376565,3,2021-11-07T12:30:00Z,2021-11-07T23:30:00Z,1,345.71958297773364,203.16460001334028,-12.354607955616109,-29.022182929721986,-7.551281968056421,-23.04774121928267
5D6,7,8,31.8125,113.6875,23.6875,110.1875,334618,377339,4,2021-11-07T12:30:00Z,2021-11-07T23:30:00Z,1,964.0450629073105,201.80735716872636,-32.540275364908695,-81.74053535757024,-10.018111372708406,-51.536463102805406
